user,text,favorite_count,retweet_count,created_at
elonmusk,"More and more over time, as we hew closer to the truth, Twitter will earn the trust of the people",76176,7582,2022-11-23
elonmusk,I hope you get that which truly makes you happy,32351,2821,2022-11-23
elonmusk,@MattWallace888 @semafor Inmates are running the asylum at WaPo while Jeff parties in his hot tub,5240,578,2022-11-23
elonmusk,@realchasegeiser 🤣🤣 worth it,1781,105,2022-11-23
elonmusk,@semafor What’s going on here @semaforben?,1462,107,2022-11-23
elonmusk,@semafor Semafor is owned by SBF. This is a massive conflict of interest in your reporting. Journalistic integrity is 🗑️. https://t.co/1AB6KReJUj,12540,1569,2022-11-23
elonmusk,@mazemoore 🫶,31727,1152,2022-11-23
elonmusk,What is best in life?,94078,7190,2022-11-23
elonmusk,@stillgray Troublesome,2967,173,2022-11-23
elonmusk,@realGeorgeHotz Welcome to Twitter!,9452,481,2022-11-23
elonmusk,"@BusinessInsider False. Also, Business is still not a real publication. Just give up.",74106,5919,2022-11-23
elonmusk,@TotalWorld1 わかりました,11531,3729,2022-11-23
elonmusk,https://t.co/PervJOJQbq,10136,861,2022-11-23
elonmusk,@StephenKing What *is* the best pillow?,3900,176,2022-11-23
elonmusk,@StephenKing Is My Pillow actually a great pillow? Now I’m curious.,8356,454,2022-11-23
elonmusk,@StephenKing Oh hi lol,44665,1812,2022-11-23
elonmusk,@EMTSLA @WholeMarsBlog Agreed,2283,107,2022-11-23
elonmusk,@WholeMarsBlog Yea,2201,107,2022-11-23
elonmusk,@WholeMarsBlog https://t.co/MbS8QAyQH7,4583,248,2022-11-23
elonmusk,Maybe we’ve gone to heaven/hell &amp; don’t know it 🤔,96572,5353,2022-11-23
elonmusk,Found in closet at Twitter HQ fr 🤣🤣 https://t.co/3xSI3KvvHk,371298,52678,2022-11-23
elonmusk,@CEOAdam Twitter is where the opinion leaders are,40439,3419,2022-11-23
elonmusk,@catturd2 @PatrickW @kylenabecker @Twitter I am cautiously optimistic that things will work out well,27839,1907,2022-11-23
elonmusk,@kimbal @TheEconomist Nice,14659,736,2022-11-23
elonmusk,Wasn’t Twitter supposed to die by now or something … ?,680924,52021,2022-11-23
elonmusk,"@PatrickW @kylenabecker @Twitter A large coalition of political/social activist groups agreed not to try to kill Twitter by starving us of advertising revenue if I agreed to this condition.

They broke the deal.",28885,4307,2022-11-22
elonmusk,@DineshDSouza Correct,137198,9820,2022-11-22
elonmusk,@kylenabecker @Twitter Not even Associated Press with their completely fictional report on Russian missiles hitting Poland that carried severe consequences for escalating the war,38245,6073,2022-11-22
elonmusk,@wizecrax @stillgray @kylenabecker @Twitter This is messed up,7407,461,2022-11-22
elonmusk,"@kylenabecker @Twitter As is obvious to all but the media, there is not one permanent ban on even the most far left account spouting utter lies",101426,13755,2022-11-22
elonmusk,@kylenabecker @Twitter True,13045,1330,2022-11-22
elonmusk,"@waitbutwhy It is shocking how many journalists viscously attack free speech, but somehow think they’re the good guys!",169085,22654,2022-11-22
elonmusk,@BillyM2k the olden daze,6657,345,2022-11-22
elonmusk,@jakeshieldsajj Indeed,8891,265,2022-11-22
elonmusk,@R6BTuxYEfbGYIoB What do you mean?,52065,2093,2022-11-22
elonmusk,@WSJ @WSJopinion @AllysiaFinley .@CommunityNotes 🙌,19212,809,2022-11-22
elonmusk,"Wait, if I Tweet does that count as work?",657577,37025,2022-11-22
elonmusk,@SirineAti @Anc_Aesthetics Twitter,8873,331,2022-11-22
elonmusk,"@PPathole @Anc_Aesthetics Yeah, about 6 months ago",4881,152,2022-11-22
elonmusk,@Syndicate I see a path,8198,279,2022-11-22
elonmusk,@TeslaGong @CSMFHT It’s coming,2567,108,2022-11-22
elonmusk,@teslaownersSV @CSMFHT Looking into it,3161,136,2022-11-22
elonmusk,@Anc_Aesthetics Pretty sure that was in Elden Ring,34755,1205,2022-11-22
elonmusk,@unusual_whales Perhaps not unreasonable to know if anything was accomplished 🫶,171235,6473,2022-11-22
elonmusk,"This will improve a lot as Twitter becomes fast to use outside of North America, Western Europe &amp; Japan",74454,4348,2022-11-22
elonmusk,"@CSMFHT Pupienus Maximus!
https://t.co/RQT01Xc2fz",8163,368,2022-11-22
elonmusk,@sama Plot twist!,35141,1268,2022-11-22
elonmusk,@dogeofficialceo @MrBeast Written content too,15549,771,2022-11-22
elonmusk,@MrBeast Let’s see what happens when Twitter offers good video with higher compensation for creators …,93157,5410,2022-11-22
elonmusk,The Tactics of Mistake,160051,11427,2022-11-22
elonmusk,@mosstache 💯🎯🤣,30629,1101,2022-11-22
elonmusk,"Twitter added 1.6M daily active users this past week, another all-time high https://t.co/Si3cRYnvyD",365090,29850,2022-11-22
elonmusk,"Holding off relaunch of Blue Verified until there is high confidence of stopping impersonation. 

Will probably use different color check for organizations than individuals.",235085,14983,2022-11-22
elonmusk,@egoraptor lmao,7441,240,2022-11-22
elonmusk,@PPathole Dune. Amazing to think it was written in 1965!,10024,500,2022-11-21
elonmusk,@WSJ @WSJopinion @AllysiaFinley Yeah umm … that is definitely not the reason it failed,230038,16500,2022-11-21
elonmusk,@Jason 🤣,59470,2158,2022-11-21
elonmusk,Starlink now works for high latitudes https://t.co/Ngdh8CJbCJ,83009,6468,2022-11-21
elonmusk,Tesla Megapacks are highly effective in addressing electricity demand spikes that cause power outages https://t.co/V4n5c4ZvNH,40534,3292,2022-11-21
elonmusk,@JamesSpiro @Israel @taylorswift13 I have! It was great.,11804,356,2022-11-21
elonmusk,@cb_doge @DanSum519 @stillgray Not many tbh,4608,167,2022-11-21
elonmusk,@Israel @taylorswift13 Your tweets are good! More countries should tweet like this. No fun being all stuffy.,113822,3620,2022-11-21
elonmusk,Experience: what you get when you didn’t get what you wanted - Igor,166143,16030,2022-11-21
elonmusk,"@DanSum519 @stillgray Oh they’ll be back on Twitter, if they even actually left. This platform is like pharmaceutical-grade crack to them.",3742,394,2022-11-21
elonmusk,@stillgray I am having a great time 🤣🤣,66815,3177,2022-11-21
elonmusk,Fanaticism is always a function of repressed doubt – Dune,124162,10638,2022-11-21
elonmusk,Namaste 🙏,203128,14605,2022-11-21
elonmusk,"@mysteriouskat It’s a reverse, reverse psychology trick",22123,696,2022-11-21
elonmusk,@mysteriouskat 👀,3968,104,2022-11-21
elonmusk,@waitbutwhy Absolutely,4812,163,2022-11-21
elonmusk,"@lenjin2 @catturd2 I like his music tbh, but maybe Etsy is more his style",6050,205,2022-11-21
elonmusk,"Hope all judgy hall monitors stay on other platforms – please, I’m begging u",353856,25526,2022-11-21
elonmusk,@rhemrajani9 Feels so long ago 🤭,8791,280,2022-11-21
elonmusk,@lexfridman It is so entertaining!,29941,979,2022-11-21
elonmusk,Twitter is fun 🚀 💫 ♥️,614740,47620,2022-11-21
elonmusk,@KimDotcom @BillFOXLA @FoxNews Behavior follows the incentives for political power,11496,978,2022-11-21
elonmusk,@lexfridman Good times :),59588,1998,2022-11-21
elonmusk,@LanceUlanoff @Rainmaker1973 Then let us work to make the future better,6364,383,2022-11-21
elonmusk,"@rationalwalk @BillFOXLA @FoxNews We should actively recruit the best &amp; brightest to part of the United States! 

That is what every championship sports team does.",5228,417,2022-11-21
elonmusk,@micsolana So unfair! 🤣,18386,662,2022-11-21
elonmusk,@MrStevenSteele @catturd2 🤣,5876,188,2022-11-21
elonmusk,@catturd2 And it turns out that Trent “nine inch nails” Reznor is actually a crybaby 🤣,109828,6544,2022-11-21
elonmusk,@Rainmaker1973 I can’t think of a worse curse than living forever,60073,3719,2022-11-21
elonmusk,"@BillFOXLA @FoxNews Seems bizarre that it’s so easy enter illegally, but so hard to get a legal work visa",185755,18229,2022-11-21
elonmusk,"@KimDotcom @SamHarrisOrg My firstborn child died in my arms. I felt his last heartbeat. 

I have no mercy for anyone who would use the deaths of children for gain, politics or fame.",125501,12508,2022-11-21
elonmusk,"@teslaownersSV @EvaFoxU Oh man, that’s a long story, but if we haven’t cut response time in half by end of year, I will hang my head in shame",15432,792,2022-11-21
elonmusk,@BLKMDL3 @EvaFoxU Latter,4031,169,2022-11-21
elonmusk,"@teslaownersSV @EvaFoxU Yes, major focus on video overall",9446,467,2022-11-21
elonmusk,@EvaFoxU Priority #1,244666,16792,2022-11-21
elonmusk,"@SamHarrisOrg Suffer little children, and forbid them not, to come unto me: for of such is the kingdom of heaven",125912,7615,2022-11-21
elonmusk,@EvaFoxU Falcon is powered by 9 merkins!,19502,823,2022-11-21
elonmusk,Our love will never die https://t.co/y5SldfAAt0,474736,36057,2022-11-21
elonmusk,And lead us not into temptation … https://t.co/8qNOXzwXS9,1080694,93395,2022-11-21
elonmusk,@EvaFoxU So tempting …,7317,270,2022-11-21
elonmusk,@HappyJesse Yes,10496,238,2022-11-20
elonmusk,"@kanyewest Don’t kill what ye hate
Save what ye love",286678,16183,2022-11-20
elonmusk,@teslaownersSV @kcoleman Making good progress. Still tracking to wide release next month.,5631,373,2022-11-20
elonmusk,"World Cup Qatar 2022: Opening Ceremony
https://t.co/TjSSitY7fK",129954,13838,2022-11-20
elonmusk,"@TimRunsHisMouth So you say “mainstream media” is biased? 

Hmm, will have to fact-check that with mainstream media.

Nope, they say everything is cool!",156745,13454,2022-11-20
elonmusk,"@RaheemKassam They just can’t stop writing about Twitter, which is driving usage through roof lmao",53511,4597,2022-11-20
elonmusk,@catturd2 One thing is for sure: it’s not boring https://t.co/47uPkl88gZ,102651,6214,2022-11-20
elonmusk,@kcoleman Exactly,18353,840,2022-11-20
elonmusk,@stillgray @mtaibbi “All the news that’s fit to print” my ass,23639,2801,2022-11-20
elonmusk,@CBSNewsPress 🤭,251185,11687,2022-11-20
elonmusk,@Starbie888 @NateSilver538 [Cue Spider-Man meme],3680,166,2022-11-20
elonmusk,@Starbie888 @NateSilver538 What could be more fun than a social network consisting entirely of hall monitors!?,7419,580,2022-11-20
elonmusk,@NateSilver538 🤣🤣💯🎯,24039,1100,2022-11-20
