user,favorite_count,retweet_count,created_at,cleaned_tweet,polarity,subjectivity
elonmusk,76176,7582,2022-11-23,more more over time as we hew closer truth twitter will earn trust people,0.5,0.5
elonmusk,32351,2821,2022-11-23,i hope you get that which truly makes you happy,0.8,1.0
elonmusk,5240,578,2022-11-23,inmates are running asylum at wapo while jeff parties his hot tub,0.25,0.8500000000000001
elonmusk,1781,105,2022-11-23,worth it,0.3,0.1
elonmusk,1462,107,2022-11-23,what s going here,0.0,0.0
elonmusk,12540,1569,2022-11-23,semafor is owned by sbf this is massive conflict interest your reporting journalistic integrity is,0.0,1.0
elonmusk,31727,1152,2022-11-23,,0.0,0.0
elonmusk,94078,7190,2022-11-23,what is best life,1.0,0.3
elonmusk,2967,173,2022-11-23,troublesome,0.0,0.0
elonmusk,9452,481,2022-11-23,welcome twitter,0.8,0.9
elonmusk,74106,5919,2022-11-23,false also business is still not real publication just give up,-0.25000000000000006,0.45
elonmusk,11531,3729,2022-11-23,,0.0,0.0
elonmusk,10136,861,2022-11-23,,0.0,0.0
elonmusk,3900,176,2022-11-23,what is best pillow,1.0,0.3
elonmusk,8356,454,2022-11-23,is my pillow actually great pillow now i m curious,0.35000000000000003,0.875
elonmusk,44665,1812,2022-11-23,oh hi lol,0.8,0.7
elonmusk,2283,107,2022-11-23,agreed,0.0,0.0
elonmusk,2201,107,2022-11-23,yea,0.0,0.0
elonmusk,4583,248,2022-11-23,,0.0,0.0
elonmusk,96572,5353,2022-11-23,maybe we ve gone heaven amp don t know it,0.0,0.0
elonmusk,371298,52678,2022-11-23,found closet at twitter hq fr,0.0,0.0
elonmusk,40439,3419,2022-11-23,twitter is where opinion leaders are,0.0,0.0
elonmusk,27839,1907,2022-11-23,i am cautiously optimistic that things will work out well,0.0,0.0
elonmusk,14659,736,2022-11-23,nice,0.6,1.0
elonmusk,680924,52021,2022-11-23,wasn t twitter supposed die by now or something,0.0,0.0
elonmusk,28885,4307,2022-11-22,large coalition political social activist groups agreed not try twitter by starving us advertising revenue if i agreed this condition they broke deal,0.08253968253968254,0.1984126984126984
elonmusk,137198,9820,2022-11-22,correct,0.0,0.0
elonmusk,38245,6073,2022-11-22,not even associated press with their completely fictional report russian missiles hitting poland that carried severe consequences escalating war,0.0,0.125
elonmusk,7407,461,2022-11-22,this is messed up,0.0,0.0
elonmusk,101426,13755,2022-11-22,as is obvious all but media there is not one permanent ban even most far left account spouting utter lies,0.12,0.6
elonmusk,13045,1330,2022-11-22,true,0.35,0.65
elonmusk,169085,22654,2022-11-22,it is shocking how many journalists viscously attack free speech but somehow think they re good guys,0.15,0.725
elonmusk,6657,345,2022-11-22,olden daze,0.0,0.0
elonmusk,8891,265,2022-11-22,indeed,0.0,0.0
elonmusk,52065,2093,2022-11-22,what do you mean,-0.3125,0.6875
elonmusk,19212,809,2022-11-22,,0.0,0.0
elonmusk,657577,37025,2022-11-22,wait if i tweet does that count as work,0.0,0.0
elonmusk,8873,331,2022-11-22,twitter,0.0,0.0
elonmusk,4881,152,2022-11-22,yeah about 6 months ago,0.0,0.0
elonmusk,8198,279,2022-11-22,i see path,0.0,0.0
elonmusk,2567,108,2022-11-22,it s coming,0.0,0.0
elonmusk,3161,136,2022-11-22,looking into it,0.0,0.0
elonmusk,34755,1205,2022-11-22,pretty sure that was elden ring,0.375,0.9444444444444444
elonmusk,171235,6473,2022-11-22,perhaps not unreasonable know if anything was accomplished,0.2,0.5
elonmusk,74454,4348,2022-11-22,this will improve lot as twitter becomes fast use outside north america western europe amp japan,0.06666666666666667,0.21666666666666667
elonmusk,8163,368,2022-11-22,pupienus maximus,0.0,0.0
elonmusk,35141,1268,2022-11-22,plot twist,0.0,0.0
elonmusk,15549,771,2022-11-22,written content too,0.0,0.0
elonmusk,93157,5410,2022-11-22,let s see what happens when twitter offers good video with higher compensation creators,0.3499999999999999,0.3666666666666667
elonmusk,160051,11427,2022-11-22,tactics mistake,0.0,0.0
elonmusk,30629,1101,2022-11-22,,0.0,0.0
elonmusk,365090,29850,2022-11-22,twitter added 1 6m daily active users this past week another all time high,-0.055833333333333325,0.3475
elonmusk,235085,14983,2022-11-22,holding off relaunch blue verified until there is high confidence stopping impersonation will probably use different color check organizations than individuals,0.05333333333333334,0.4133333333333333
elonmusk,7441,240,2022-11-22,,0.0,0.0
elonmusk,10024,500,2022-11-21,dune amazing think it was written 1965,0.6000000000000001,0.9
elonmusk,230038,16500,2022-11-21,yeah umm that is definitely not reason it failed,-0.25,0.4
elonmusk,59470,2158,2022-11-21,,0.0,0.0
elonmusk,83009,6468,2022-11-21,starlink now works high latitudes,0.16,0.5399999999999999
elonmusk,40534,3292,2022-11-21,tesla megapacks are highly effective addressing electricity demand spikes that cause power outages,0.6,0.8
elonmusk,11804,356,2022-11-21,i have it was great,0.8,0.75
elonmusk,4608,167,2022-11-21,not many tbh,-0.25,0.5
elonmusk,113822,3620,2022-11-21,your tweets are good more countries should tweet like this no fun being all stuffy,0.35000000000000003,0.43333333333333335
elonmusk,166143,16030,2022-11-21,experience what you get when you didn t get what you wanted igor,0.0,0.0
elonmusk,3742,394,2022-11-21,oh they ll be back twitter if they even actually left this platform is like pharmaceutical grade crack them,0.0,0.0
elonmusk,66815,3177,2022-11-21,i am having great time,0.8,0.75
elonmusk,124162,10638,2022-11-21,fanaticism is always function repressed doubt dune,0.0,0.0
elonmusk,203128,14605,2022-11-21,namaste,0.0,0.0
elonmusk,22123,696,2022-11-21,it s reverse reverse psychology trick,0.0,0.0
elonmusk,3968,104,2022-11-21,,0.0,0.0
elonmusk,4812,163,2022-11-21,absolutely,0.2,0.9
elonmusk,6050,205,2022-11-21,i like his music tbh but maybe etsy is more his style,0.5,0.5
elonmusk,353856,25526,2022-11-21,hope all judgy hall monitors stay other platforms please i m begging u,-0.125,0.375
elonmusk,8791,280,2022-11-21,feels so long ago,-0.05,0.4
elonmusk,29941,979,2022-11-21,it is so entertaining,0.5,0.7
elonmusk,614740,47620,2022-11-21,twitter is fun,0.3,0.2
elonmusk,11496,978,2022-11-21,behavior follows incentives political power,0.0,0.1
elonmusk,59588,1998,2022-11-21,good times,0.7,0.6000000000000001
elonmusk,6364,383,2022-11-21,then let us work make future better,0.25,0.3125
elonmusk,5228,417,2022-11-21,we should actively recruit best amp brightest part united states that is what every championship sports team does,0.43333333333333335,0.44999999999999996
elonmusk,18386,662,2022-11-21,so unfair,-0.5,1.0
elonmusk,5876,188,2022-11-21,,0.0,0.0
elonmusk,109828,6544,2022-11-21,it turns out that trent nine inch nails reznor is actually crybaby,0.0,0.1
elonmusk,60073,3719,2022-11-21,i can t think worse curse than living forever,-0.4,0.6
elonmusk,185755,18229,2022-11-21,seems bizarre that it s so easy enter illegally but so hard get legal work visa,0.04833333333333334,0.535
elonmusk,125501,12508,2022-11-21,my firstborn child died my arms i felt his last heartbeat i have no mercy anyone who would use deaths children gain politics or fame,0.0,0.06666666666666667
