user,id,favorite_count,retweet_count,created_at,cleaned_tweet,polarity,subjectivity
elonmusk,1595684143429550080,158222,11488,2022-11-24,you might notice small sometimes major improvements speed twitter will be especially significant countries far away usa,0.165625,0.725
elonmusk,1595682322707267584,106698,8739,2022-11-24,tesla full self driving beta is now available anyone north america who requests it car screen assuming you have bought this option congrats tesla autopilot ai team achieving major milestone,0.2708333333333333,0.4833333333333334
elonmusk,1595673560437370880,16731,1053,2022-11-24,that s general idea,0.05000000000000002,0.5
elonmusk,1595671290421170179,74218,8715,2022-11-24,removing child exploitation is priority please reply comments if you see anything that twitter needs address,0.0,0.0
elonmusk,1595670499534802949,4904,261,2022-11-24,oh we have quite adventure ahead,0.0,0.0
elonmusk,1595653241605591041,91881,4963,2022-11-24,reducing max allowed tweets day number below what speed typist could do was helpful,0.0,0.0
elonmusk,1595646886844710914,66552,3435,2022-11-24,i have half mind wag my finger at 1500 accounts that caused spike but i shall forebear,-0.16666666666666666,0.16666666666666666
elonmusk,1595637837969653760,141668,12194,2022-11-24,this is necessary restore public trust,0.0,0.5333333333333333
elonmusk,1595635085172162565,7348,307,2022-11-24,yeah these are umm bad words i read through list last week amp have say i learned few things,-0.3,0.27777777777777773
elonmusk,1595634356285997060,5834,196,2022-11-24,great point,0.8,0.75
elonmusk,1595634093198540801,16856,768,2022-11-24,,0.0,0.0
elonmusk,1595633232325877762,15801,840,2022-11-24,fun level twitter has definitely increased i m having great time tbh,0.3666666666666667,0.48333333333333334
elonmusk,1595630109116989440,186777,15594,2022-11-24,hate speech impressions down by 1 3 pre spike levels congrats twitter team,-0.4777777777777778,0.5944444444444444
elonmusk,1595626005703659520,2898,105,2022-11-24,working it,0.0,0.0
elonmusk,1595607377922908160,26434,2263,2022-11-24,they need exist stop scams spam nsfw amp illegal stuff going viral but they should obviously not be used political purposes,-0.16666666666666666,0.3666666666666667
elonmusk,1595605877712642050,33621,5715,2022-11-24,it is objectively case that conservative political candidates were more negatively affected than progressive candidates anyone using twitter knows this question is simply one magnitude,0.04,0.2914285714285715
elonmusk,1595602365633253378,31372,2621,2022-11-24,neil which is alien spelled backwards was first person moon year was 69,0.0,0.5416666666666666
elonmusk,1595595654159429632,13791,808,2022-11-24,agreed that is not ok,-0.25,0.5
elonmusk,1595591868275826688,24071,3315,2022-11-24,if sbf was as good at running crypto exchange as he was at bribing media ftx would still be solvent,0.7,0.6000000000000001
elonmusk,1595589549924970496,488316,33787,2022-11-24,have great thanksgiving,0.8,0.75
elonmusk,1595587988926664704,49688,3173,2022-11-24,is this really still happening,0.2,0.2
elonmusk,1595587621731766275,24588,2741,2022-11-24,this is one biggest failures us journalistic integrity 21st century,0.0,0.0
elonmusk,1595581454842404864,39988,1602,2022-11-24,lol but actually true,0.575,0.675
elonmusk,1595563761402015744,159762,28982,2022-11-23,more i learn worse it gets world should know truth what has been happening at twitter transparency will earn trust people,0.04999999999999999,0.55
elonmusk,1595563282252713985,6548,291,2022-11-23,,0.0,0.0
elonmusk,1595559226805395457,7006,484,2022-11-23,good point conflicts interest should be made readily apparent reader,0.375,0.47500000000000003
elonmusk,1595558540109705216,10926,347,2022-11-23,just wow,0.1,1.0
elonmusk,1595558069156532225,4778,305,2022-11-23,they should get sbf affiliated media label,0.0,0.0
elonmusk,1595557676599377920,3064,120,2022-11-23,yup,0.0,0.0
elonmusk,1595554584860102657,1650,72,2022-11-23,,0.0,0.0
elonmusk,1595554537053589505,2747,116,2022-11-23,that s why he won t answer,0.0,0.0
elonmusk,1595552639273472001,28452,2531,2022-11-23,be direct very real concern here is that you have been pushing completely false sbf ownership twitter narrative while effectively being his paid shill,0.13999999999999996,0.5475000000000001
elonmusk,1595551706749624321,120107,10970,2022-11-23,all public holders twitter were allowed roll their stock into twitter as private company but he did not do so your reporting made it falsely sound like he did when fact he owns 0 last time how much you does sbf own stop dodging question,0.20000000000000004,0.3513888888888889
elonmusk,1595549239425187840,30021,1270,2022-11-23,yes,0.0,0.0
elonmusk,1595548159500906496,22187,1116,2022-11-23,be fair there are many people at twitter working late into night whom i have great respect,0.425,0.6875
elonmusk,1595547544964456448,8428,291,2022-11-23,,0.0,0.0
elonmusk,1595535360863395842,481644,41680,2022-11-23,awesome new twitter merch,0.5681818181818181,0.7272727272727273
elonmusk,1595534031545765890,95830,15712,2022-11-23,it has been really bad far left san francisco berkeley views have been propagated world via twitter i m sure this comes as no surprise anyone watching closely twitter is moving rapidly establish even playing field no more thumb scale,-0.06999999999999998,0.611111111111111
elonmusk,1595520823766712320,9549,477,2022-11-23,it s not real publication,-0.1,0.30000000000000004
elonmusk,1595514289754112000,13243,907,2022-11-23,with maybe little editorial help sbf s employees,-0.1875,0.5
elonmusk,1595512191075373057,8253,334,2022-11-23,this is awesome,1.0,1.0
elonmusk,1595509817291862016,4026,240,2022-11-23,no grey area flat wrong,-0.16666666666666666,0.375
elonmusk,1595509452781850636,6466,588,2022-11-23,other did take sbf money won t disclose how much sbf owns them,0.037500000000000006,0.2875
elonmusk,1595508995912978432,8487,707,2022-11-23,i did not take money sbf ftx do not own shares twitter,-0.3,1.0
elonmusk,1595505413113323520,324988,21757,2022-11-23,world cup traffic hit almost 20 000 tweets per second today great work by twitter team managing record usage,0.4,0.375
elonmusk,1595503151825580032,26434,3140,2022-11-23,headline stephen king tweet causes my pillow sales skyrocket lmaooo,0.0,0.0
elonmusk,1595501681172619264,28791,1063,2022-11-23,haha sorry code release towards end next week should allow this again,-0.09999999999999999,0.43333333333333335
elonmusk,1595500566389497856,5511,418,2022-11-23,no he may have owned shares twitter as public company but he certainly does not own shares twitter as private company,-0.02142857142857143,0.5032738095238095
elonmusk,1595496293467508736,34200,1850,2022-11-23,there was time when you cared about truth that is long gone,-0.05,0.4
elonmusk,1595494411579711490,5376,949,2022-11-23,as i said neither i nor twitter have taken any investment sbf ftx your article is lie now i m asking again how much you does sbf own,0.4,0.6
elonmusk,1595493653799383040,8017,459,2022-11-23,it was getting point where minimum impulse bit silicon valley startup was billion dollar market cap,0.0,0.0
elonmusk,1595473875847942146,141748,49632,2022-11-23,should twitter offer general amnesty suspended accounts provided that they have not broken law or engaged egregious spam,0.125,0.45
elonmusk,1595472986173120512,24033,983,2022-11-23,,0.0,0.0
elonmusk,1595472728550965249,69039,3480,2022-11-23,so much fix at twitter sigh,0.2,0.2
elonmusk,1595469939632021504,10779,877,2022-11-23,there are lies there are lies then there is statista,0.0,0.0
elonmusk,1595467005381210112,8811,441,2022-11-23,some things more so than others sigh,0.5,0.5
elonmusk,1595466497836843009,24399,1405,2022-11-23,true,0.35,0.65
elonmusk,1595466179606237184,4034,329,2022-11-23,what do your jeans tell you,0.0,0.0
elonmusk,1595464142147624960,13605,2057,2022-11-23,according obama s doj ferguson shooting was unequivocally self defense so ferguson protests were if you believe obama s doj based false premise that s not say that other injustices don t occur but this does not appear be one them,-0.26250000000000007,0.4875
elonmusk,1595463197749747712,3216,237,2022-11-23,full text,0.35,0.55
elonmusk,1595462928568049664,13616,2076,2022-11-23,what conspiracy theory this what obama s doj published,0.0,0.0
