user,text,favorite_count,retweet_count,created_at,cleaned_tweet,polarity,subjectivity
elonmusk,@SaladBarFan 🎯,3561,193,2022-11-17,,0.0,0.0
elonmusk,@DavidSacks I believe in vice-signaling,6905,513,2022-11-17,i believe vice signaling,0.0,0.0
elonmusk,"@laurenweinstein @stocktalkweekly Correct. I will continue to run Twitter until it is in a strong place, which will take some time.",3611,283,2022-11-17,correct i will continue run twitter until it is strong place which will take some time,0.4333333333333333,0.7333333333333333
elonmusk,@jack Magic 🎱 knows all,46502,2842,2022-11-17,magic knows all,0.5,1.0
elonmusk,@amitkgupta84 @Jason Literally working on that tonight,2687,142,2022-11-17,literally working that tonight,0.0,0.0
elonmusk,@paulg People have no idea how fast Twitter will evolve,18848,1665,2022-11-16,people have no idea how fast twitter will evolve,0.2,0.6
elonmusk,@WholeMarsBlog Yep,7155,382,2022-11-16,yep,0.0,0.0
elonmusk,"@realGeorgeHotz @boing Sure, let’s talk.",7590,323,2022-11-16,sure let s talk,0.5,0.8888888888888888
elonmusk,"@jimmyfallon Wait a second, how do we know you’re not an alien body snatcher pretending to be Jimmy!? 

Say something that only the real Jimmy would say …",36531,1529,2022-11-16,wait second how do we know you re not alien body snatcher pretending be jimmy say something that only real jimmy would say,0.08125,0.5125
elonmusk,@rising_serpent Why is that?,60101,3006,2022-11-16,why is that,0.0,0.0
elonmusk,@jimmyfallon Sounds like a job for @CommunityNotes!,8663,265,2022-11-16,sounds like job,0.0,0.0
elonmusk,"@bowx_ To heir is human, to forgive, divine (something like that)",5712,285,2022-11-16,heir is human forgive divine something like that,0.0,0.1
elonmusk,@jimmyfallon Fix what?,151777,5369,2022-11-16,fix what,0.0,0.0
elonmusk,@Mrwhosetheboss Maybe,67331,1607,2022-11-16,maybe,0.0,0.0
elonmusk,@NASA @NASAArtemis @NASA_SLS @NASA_Orion Congratulations!!,37396,1725,2022-11-16,congratulations,0.0,0.0
elonmusk,@JuliusSinghania @wongmjane X will be the everything app,7440,713,2022-11-16,x will be everything app,0.0,0.0
elonmusk,@yukaichou I’m the taint haha,7901,338,2022-11-16,i m taint haha,0.2,0.3
elonmusk,"@nichegamer @teslaownersSV @chicago_glenn @stillgray @dcherring Yeah, next-level 🤣🤣",2254,99,2022-11-16,yeah next level,0.0,0.0
elonmusk,@teslaownersSV @chicago_glenn @stillgray @dcherring @nichegamer Fasting + Ozempic/Wegovy + no tasty food near me,4211,272,2022-11-16,fasting ozempic wegovy no tasty food near me,0.1,0.4
elonmusk,@chicago_glenn @stillgray @dcherring @nichegamer Down 30 lbs!,5421,189,2022-11-16,down 30 lbs,-0.15555555555555559,0.2888888888888889
elonmusk,@jhall @stillgray @dcherring @nichegamer @Forbes Yup,2171,99,2022-11-16,yup,0.0,0.0
elonmusk,@wongmjane 😉,23462,803,2022-11-16,,0.0,0.0
elonmusk,"@stevenmarkryan My apologies, this will be fixed within a week, two at most",4955,223,2022-11-16,my apologies this will be fixed within week two at most,0.3,0.35
elonmusk,@stillgray @dcherring @nichegamer Agreed. What will matter in the future is how many Verified followers you have.,6228,490,2022-11-16,agreed what will matter future is how many verified followers you have,0.25,0.3125
elonmusk,@teslaownersSV We’ll widen V11 beta before Thanksgiving,11554,765,2022-11-16,we ll widen v11 beta before thanksgiving,0.0,0.0
elonmusk,@dcherring @nichegamer Hard to say who’s celeb &amp; who isn’t. Being able to sort by follower count &amp; disallowing deliberate impersonation probably solves this.,4658,275,2022-11-16,hard say who s celeb amp who isn t being able sort by follower count amp disallowing deliberate impersonation probably solves this,0.10416666666666666,0.5833333333333333
